ランディング ページ,セッション,新規セッション率,新規ユーザー,直帰率,ページ/セッション,平均セッション時間,コンバージョン率,目標の完了数,目標値
/andresortlife/2020/07/28/夜の屋上テラスが上質なリゾート空間に！屋上を/,1270,88.50%,1124,88.66%,1.25,35.01,0.00%,0,0.00
/lp/concept/company.html,1257,68.34%,859,64.44%,2.09,92.87,0.00%,0,0.00
/andresortlife/2020/11/04/ダッチオーブンを使いこなす！おうちキャンプで/,1242,92.03%,1143,90.82%,1.20,23.57,0.00%,0,0.00
/andresortlife/2020/05/24/ちょっとスマートなおうち時間を。自宅で天体観/,1232,94.81%,1168,94.48%,1.09,14.32,0.00%,0,0.00
/lp/houses/123_0861_1_01/index.html,1207,50.46%,609,75.48%,1.75,80.70,0.50%,6,0.00
/andresortlife/2020/04/28/屋上の清掃は実は雨漏り防止に効果あり！/,1166,88.34%,1030,84.56%,1.25,52.38,0.00%,0,0.00
/lp/houses/274_0063_8_02/index.html,1113,26.42%,294,65.95%,1.94,82.92,0.72%,8,0.00
/andresortlife/2020/05/21/屋上テラスキャンプを満喫！ワンランク上げるア/,1107,86.18%,954,68.93%,1.60,86.01,0.00%,0,0.00
"/andresortlife/2020/10/25/bbqの前に知っておきたい、屋上テラスでの火の取/",1100,90.27%,993,81.64%,1.25,45.08,0.00%,0,0.00
/andresortlife/2020/10/18/自宅の屋上にジャグジーを。ラグジュアリーな屋/,1043,87.82%,916,87.63%,1.21,37.36,0.00%,0,0.00
/andresortlife/2020/05/02/自宅でアウトドア！ベランピングを充実させるお/,1021,89.32%,912,86.97%,1.23,52.73,0.00%,0,0.00
/andresortlife/2020/12/25/自宅の屋上に雪が積もった場合の注意点と解決策/,998,94.39%,942,94.09%,1.13,23.05,0.00%,0,0.00
/search_cat/tokyo/,955,21.26%,203,47.75%,3.53,169.54,0.31%,3,0.00
/lp/houses/146_0084_1_02/,953,69.99%,667,88.04%,1.32,27.10,0.21%,2,0.00
/andresortlife/2020/08/06/ワンちゃんのための屋上活用！ドッグランのすす/,943,91.30%,861,76.99%,1.33,63.74,0.00%,0,0.00
"/andresortlife/2021/03/15/自宅の屋上に大型遊具を置いて、家族で楽しむア/",935,94.01%,879,94.87%,1.07,13.30,0.00%,0,0.00
/andresortlife/2020/07/07/テレワークの気分転換にも！屋上テラスに最適な/,929,93.65%,870,92.57%,1.11,15.92,0.00%,0,0.00
/company/,874,60.30%,527,45.54%,3.14,139.91,0.46%,4,0.00
/lp/houses/115_0042_5_02/,867,69.43%,602,87.66%,1.36,47.03,0.12%,1,0.00
"/andresortlife/2020/12/02/冬のあったかキャンプ飯、お家キャンプで楽しむ/",853,95.08%,811,95.55%,1.07,9.90,0.00%,0,0.00
/lp/houses/334_0056_786_01/index.html,827,5.80%,48,55.50%,2.60,131.80,0.60%,5,0.00
/lp/houses/167_0042_4_04/,815,71.90%,586,80.25%,1.60,52.33,0.37%,3,0.00
/lp/houses/215_0018_6_01/index.html,811,7.03%,57,56.72%,2.22,118.37,0.49%,4,0.00
/andresortlife/2020/08/02/屋上テラスなら洗濯物が早く乾く？屋上テラスに/,798,89.22%,712,83.58%,1.22,38.07,0.00%,0,0.00
/andresortlife/2020/05/01/缶詰を使った絶品キャンプ飯！気楽に頑張らない/,797,95.11%,758,96.24%,1.11,13.09,0.00%,0,0.00
/lp/houses/215_0018_6_01/,781,66.33%,518,82.07%,1.37,41.45,0.26%,2,0.00
/andresortlife/2020/06/30/自宅で屋上リビングを楽しもう！プライバシーの/,774,86.43%,669,85.53%,1.30,59.19,0.00%,0,0.00
/andresortlife/2020/12/21/自宅でも屋上菜園にこだわりたい。屋上に温室は/,774,89.66%,694,88.37%,1.19,40.05,0.00%,0,0.00
"/andresortlife/2020/05/31/ベランダでできるおしゃれなアウトドア、ベラン/",771,91.44%,705,90.40%,1.18,29.17,0.00%,0,0.00
/andresortlife/2020/08/04/屋上を自宅トレーニングルームに！ダイエットに/,771,93.90%,724,91.96%,1.10,18.41,0.00%,0,0.00
/interview/id1969/,741,50.07%,371,59.11%,3.60,198.92,0.13%,1,0.00
/andresortlife/2020/08/09/屋上スペースを有効活用！育てやすい野菜は？/,738,88.62%,654,75.20%,1.42,75.47,0.00%,0,0.00
/lp/houses/134_0081_1_02/index.html,726,49.45%,359,72.31%,1.84,80.89,0.69%,5,0.00
/lp/houses/343_0846_4_01/index.html,726,31.27%,227,66.67%,2.18,98.14,0.69%,5,0.00
/andresortlife/2020/08/29/心と体を緩める時間。「オンとオフを切り替える/,724,90.19%,653,89.64%,1.20,28.02,0.00%,0,0.00
/andresortlife/2021/03/14/屋上テラスで足湯をしよう！自宅で足湯をする方/,708,92.80%,657,93.50%,1.14,28.22,0.00%,0,0.00
/andresortlife/2020/09/03/まだまだ暑い！屋上テラスで子どもと楽しむ水遊/,697,94.98%,662,95.70%,1.07,18.75,0.00%,0,0.00
/andresortlife/2020/09/30/お家をライブの特等席に！「ライブ配信」を楽し/,695,97.12%,675,95.40%,1.05,19.12,0.00%,0,0.00
/andresortlife/2020/05/06/屋上緑化におすすめ！初心者でも育てられるハー/,637,89.64%,571,86.19%,1.23,49.42,0.00%,0,0.00
/andresortlife/2020/07/24/今日から始める防音対策。「暮らしの音」はどう/,626,93.93%,588,98.08%,1.03,6.22,0.00%,0,0.00
/andresortlife/2020/07/20/クールな大人の空間に。「シンプルモダンインテ/,603,92.37%,557,89.55%,1.36,28.47,0.00%,0,0.00
/andresortlife/2021/01/04/ベランダとバルコニーの違いは？屋上と庭のどっ/,601,93.01%,559,93.51%,1.16,22.75,0.00%,0,0.00
/lp/houses/155_0031_4_01/,594,71.04%,422,86.53%,1.35,32.50,0.00%,0,0.00
/andresortlife/2020/05/25/ホームパーティで喜ばれるためにしておきたいお/,592,93.92%,556,90.20%,1.14,25.07,0.00%,0,0.00
/andresortlife/2020/10/02/スポーツの秋を自宅でも！屋上テラスでゴルフの/,575,95.13%,547,91.83%,1.17,22.98,0.35%,2,0.00
/lp/concept/funabashi_area.html,569,67.84%,386,55.01%,1.69,36.99,0.00%,0,0.00
/lp/houses/170_0011_2_04/index.html,569,33.04%,188,61.69%,2.36,100.99,0.18%,1,0.00
/lp/houses/173_0002_8_01/index.html,567,11.11%,63,54.85%,2.50,167.76,1.06%,6,0.00
/search/id13072/,566,2.47%,14,15.90%,3.17,278.61,0.18%,1,0.00
/andresortlife/2020/07/13/屋上テラスは愛犬専用のドッグランスペース/,561,88.59%,497,87.88%,1.15,26.78,0.00%,0,0.00
"/andresortlife/2020/10/28/午後のお茶を優雅なひとときへ、お家アフタヌー/",560,95.89%,537,95.71%,1.10,16.67,0.00%,0,0.00
/lp/houses/273_0046_2_01/index.html,553,15.91%,88,51.36%,2.29,132.14,1.45%,8,0.00
"/andresortlife/2020/07/18/屋上テラスでくつろぎの家飲み、おしゃれおつま/",539,94.06%,507,92.21%,1.17,22.85,0.00%,0,0.00
/andresortlife/2020/06/12/ぐっすり眠れる空間に。心地良い「寝室」づくり/,537,95.90%,515,91.81%,1.18,31.28,0.00%,0,0.00
/lp/houses/277_0061_1_01/,535,65.23%,349,84.49%,1.39,28.87,0.75%,4,0.00
/interview/id751/,524,88.93%,466,80.73%,1.68,56.90,0.19%,1,0.00
/lp/concept/suginami_area.html,524,87.79%,460,67.18%,1.52,33.52,0.00%,0,0.00
/lp/houses/146_0084_1_02/index.html,524,6.68%,35,40.27%,3.47,186.57,0.76%,4,0.00
/andresortlife/2020/09/05/みんなはどう使ってる？「屋上テラス」を楽しむ/,523,80.69%,422,80.69%,1.47,82.06,0.00%,0,0.00
/lp/houses/284_0012_889_02/index.html,523,1.53%,8,46.08%,2.84,154.04,0.19%,1,0.00
/andresortlife/2021/01/30/屋上テラスで七輪を使った日本の冬を楽しむアイ/,521,92.13%,480,95.39%,1.07,17.39,0.00%,0,0.00
/andresortlife/2020/05/13/自宅キャンプでお肉をもっと味わおう！簡単おす/,512,91.02%,466,96.29%,1.08,11.88,0.00%,0,0.00
/andresortlife/2020/09/08/「眠る前の過ごし方」を見直そう。上質な睡眠を/,503,93.44%,470,96.62%,1.08,13.30,0.00%,0,0.00
/lp/houses/156_0054_2_02/index.html,502,31.08%,156,61.55%,2.41,162.14,0.60%,3,0.00
/andresortlife/2020/10/19/家キャンプが本格派アウトドアになる『コッヘル/,501,94.81%,475,97.01%,1.06,11.74,0.00%,0,0.00
/search/id12506/,501,37.52%,188,71.26%,2.10,123.00,0.80%,4,0.00
/andresortlife/2020/06/10/屋上テラスで作る！流行のスキレットを使った簡/,495,94.14%,466,89.29%,1.16,19.17,0.00%,0,0.00
/andresortlife/2020/07/02/屋上ライフを楽しむための日よけアイテム3選！/,493,77.89%,384,77.89%,1.34,83.67,0.00%,0,0.00
/lp/houses/181_0014_4_06/,493,64.10%,316,77.69%,1.52,44.97,0.61%,3,0.00
/product/bacileon_ryukyu/,490,61.63%,302,57.14%,3.37,128.61,0.61%,3,0.00
/lp/concept/edogawa_area.html,488,85.45%,417,74.18%,1.61,75.37,0.20%,1,0.00
/lp/houses/338_0837_3_01/index.html,488,54.71%,267,76.43%,1.68,60.54,0.61%,3,0.00
/company/namingrights/,484,92.15%,446,85.74%,1.52,62.01,0.00%,0,0.00
/lp/houses/330_0072_4_01/index.html,483,45.55%,220,67.08%,1.97,118.12,1.04%,5,0.00
