ランディング ページ,セッション,新規セッション率,新規ユーザー,直帰率,ページ/セッション,平均セッション時間,コンバージョン率,目標の完了数,目標値
/search/id16938/,9,55.56%,5,66.67%,1.44,18.56,0.00%,0,0.00
/search/page/2/,9,33.33%,3,44.44%,2.89,72.00,0.00%,0,0.00
/?yclid=YSS.1001111129.EAIaIQobChMIvbuI7cyB7wIVVUNgCh19hA1TEAAYASAAEgLPXvD_BwE,8,100.00%,8,0.00%,4.63,164.25,0.00%,0,0.00
/andresortlife/2021/02/22/寒さが厳しい時期に家事で屋上テラスを行き来す/,8,75.00%,6,75.00%,2.13,68.88,0.00%,0,0.00
/andresortlife/2021/03/19/旬野菜を楽しむお外ごはん/,8,100.00%,8,87.50%,3.38,165.38,0.00%,0,0.00
/andresortlife/2021/06/10/自宅の屋上はみんなのキッチン。子どもと一緒に/,8,62.50%,5,100.00%,1.00,0.00,0.00%,0,0.00
/andresortlife/2021/07/02/「ワークスペース」を屋上に。屋上テラスで仕事/,8,62.50%,5,87.50%,1.13,5.50,0.00%,0,0.00
/andresortlife/category/home_camp/outdoor_cooking/,8,75.00%,6,62.50%,2.75,29.00,0.00%,0,0.00
/andresortlife/category/interior/coordinate/,8,75.00%,6,100.00%,1.00,0.00,0.00%,0,0.00
/andresortlife/category/space_utilization/roof_interior/,8,75.00%,6,62.50%,4.13,239.25,0.00%,0,0.00
/event/id196/id3308/,8,87.50%,7,87.50%,1.13,4.50,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=fb_concept&fbclid=PAAabtx-7f2UZsw3gFACyYPJ3wd8v6Pfi2HFeIiryrNV3LhB9nROYjbVjaJ3M_aem_AfTto1wSgHJKDIjzyZ4foUTnHhBmznXnISv8QUZEEDXU7dAUfxADNpzK0bWLwtm2Yfs3YQAyRD1dYyHPP68sUZ9bUld7JmAQss8-HGhB9HaqZkFR69-eKuNCPBB7u5IsAGU,8,25.00%,2,87.50%,1.13,56.25,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=WqcnGTUcT8yqrXOCahC3WwAA,8,12.50%,1,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=media_concept,8,12.50%,1,62.50%,1.38,288.25,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=ydn_gw_concept_lp&yclid=YJAD.1623100356.A8SLvmAAAK4epW8NCxByTA-QWfUhkYRbzKs1Avsu6NLu7lMfMv-1-OubJGXN61uswraoO17RKfzfNutCHArDJUfGcifU_3-gAlKHpVss-Nw0l-zKlOdWjs7PATkbVx8x5ohSARDfgjrgNgyhHULjcacK2wg6R-Z4U_u2ffmPdts4DyYLCAZBg_76OByb600CQQ,8,50.00%,4,87.50%,1.13,101.63,0.00%,0,0.00
/lp/concept/?yclid=YSS.1001111129.EAIaIQobChMIuuLB0rfx7wIVKMEWBR24ugPMEAAYASAAEgKe6fD_BwE,8,62.50%,5,75.00%,1.38,148.00,0.00%,0,0.00
/lp/houses/123_0861_1_01/concept.html,8,87.50%,7,62.50%,1.50,23.88,0.00%,0,0.00
/lp/houses/123_0861_1_01/index.html?argument=VhD4FQ1G&dmai=fb_123_0861_1_01,8,62.50%,5,37.50%,3.00,197.38,0.00%,0,0.00
/lp/houses/123_0861_1_01/index.html?argument=VhD4FQ1G&dmai=fb_123_0861_1_01&fbclid=IwAR3dfiCToUeK7dgYOCLT-8CkZnib8Qd4r11iGZBaDIugaqYewYUwksMlV5E_aem_AZ-k5WmsPJJw4LleShOB6dkhaFfYff70U6u0iwIjBFTifMlWXMupNCIsUOE-sKb3evmxPr4_uBQ2wGDoIN6AHJMGq8SnN01OmkUeE_xCpdk_Ub9oeUqUJuPFfpQtoFHM3bM,8,37.50%,3,50.00%,1.88,185.25,0.00%,0,0.00
/lp/houses/132_0022_4_07/,8,50.00%,4,62.50%,2.13,16.25,0.00%,0,0.00
/lp/houses/136_0065_5_03/concept.html,8,50.00%,4,12.50%,7.38,623.75,0.00%,0,0.00
/lp/houses/158_0091_4_01/,8,25.00%,2,62.50%,2.38,315.88,0.00%,0,0.00
/lp/houses/158_0095_5_05/index.html?argument=VhD4FQ1G&dmai=fb_158_0095_5_05&fbclid=PAAaYBWPe19wl5thGLKyptrv7UfWDGDW7OhuF_sPbcBOVCTsnSc8sNQrxu_Cs_aem_AfcifiCOaQcdcY_jFS-ilgQdQuhIYIhOkek1ctZActKDoyPbmNfLHpVllVbcRHae3nahcWlYsOpnfTMzUk4-AKLt2pg4WZR5ABncmIwahZEbNYQaLRmVTlBnHCVMcRRc33A,8,62.50%,5,37.50%,3.00,246.50,0.00%,0,0.00
/lp/houses/273_0046_2_01/index.html?argument=VhD4FQ1G&dmai=fb_273_0046_2_01&fbclid=PAAaayz6p0vpwnJ0CsY9TReqvCla56t_H2eMqw5GFsFBhSC_dZv6TW8J0riG8_aem_AVcbwTkL-zTmz9i6SV_yt7sfh_xKXUmf9Si9mTLznBNENxcc3MIK8z_bcik9rMVC269MvLQHx2rRJ5gOHByLVwtg6ncbAHuSMXB5ziNZ5ynptVRSfb_iRpJVcWTYUoJJUE8,8,25.00%,2,100.00%,1.00,0.00,0.00%,0,0.00
/lp/houses/274_0060_1_01/concept.html,8,87.50%,7,62.50%,1.75,24.63,0.00%,0,0.00
/lp/houses/274_0063_8_01/concept.html,8,75.00%,6,62.50%,1.63,33.63,0.00%,0,0.00
/lp/houses/277_0074_1_01/concept.html,8,100.00%,8,37.50%,3.75,87.63,0.00%,0,0.00
/lp/houses/330_0072_4_01/,8,12.50%,1,25.00%,3.50,199.75,0.00%,0,0.00
/lp/houses/332_0027_2_10/,8,0.00%,0,25.00%,8.00,1065.63,0.00%,0,0.00
/lp/houses/333_0816_86_02/,8,0.00%,0,25.00%,6.88,775.88,0.00%,0,0.00
/lp/reserve/?property=バシレイオン赤羽�期 全4棟,8,37.50%,3,62.50%,2.63,86.50,12.50%,1,0.00
/newsblog/14075/,8,37.50%,3,100.00%,1.00,0.00,0.00%,0,0.00
/recruit/,8,50.00%,4,12.50%,4.38,511.13,0.00%,0,0.00
/andresortlife/2020/10/05/子どもと暮らすお部屋づくり「収納編」/,7,85.71%,6,100.00%,1.00,0.00,0.00%,0,0.00
/andresortlife/2020/10/06/,7,57.14%,4,28.57%,5.14,264.00,0.00%,0,0.00
"/andresortlife/2021/01/10/冬の風物詩・鏡開きを屋上テラスで、お餅を使っ/",7,100.00%,7,100.00%,1.00,0.00,0.00%,0,0.00
/andresortlife/2021/03/20/子どもと暮らすお部屋づくり「楽しい子ども部屋/,7,85.71%,6,100.00%,1.00,0.00,0.00%,0,0.00
/andresortlife/category/home_camp/page/3/,7,28.57%,2,57.14%,4.14,285.57,0.00%,0,0.00
/andresortlife/category/home_party/,7,14.29%,1,42.86%,3.14,71.14,0.00%,0,0.00
/andresortlife/category/home_party/page/2/,7,42.86%,3,85.71%,1.14,2.43,0.00%,0,0.00
/andresortlife/category/maintenance/safety_measure/,7,100.00%,7,85.71%,1.14,1.43,0.00%,0,0.00
/andresortlife/category/space_utilization/page/5/,7,14.29%,1,57.14%,2.43,54.71,0.00%,0,0.00
/contact.html,7,100.00%,7,42.86%,2.14,34.00,14.29%,1,0.00
/gallery/?wbraid=CjgKCAjwraqHBhA6EigAKZry5Tz7VM9P9bDcQxbW5zD_FYtLuX727Kx_fK-8vx5XhkXbRmFkGgJXmA,7,100.00%,7,85.71%,1.14,50.57,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=fb_concept&fbclid=PAAaZD5BUVpNf9tlMuaIocHF-PHxz0M-Bd78XiWZuvnOvAZsHKVCMVy98sVsw_aem_AUlvpCYMDplbP0qiByJoMVv7DTcYFu4Tm9X0-0yR-Hn65a5kLIFJ9xORjS1nAIG46KQ6y2HrjcCXcjQwLA8RwUzGpyTO9Pr1MfVVjTJxwnVfpcG2nvnF1wxsTXIoxcQ-Kp8,7,28.57%,2,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=gsy_concept_lp&gunoad_cid=6192121e-4c44-457e-be2d-8d9ec24b8c9c,7,0.00%,0,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=gsy_concept_lp&gunoad_cid=caeb2964-3083-42ea-a70f-00f68e7dc7b0,7,0.00%,0,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=_Pdm5afrTqmN5ovGS47yegAA,7,14.29%,1,85.71%,1.14,181.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=ATbeedwpQjWb5Nk4odCK7gAA,7,28.57%,2,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=HYMjbx3VQe2oHJvGvIveFwAA,7,28.57%,2,85.71%,1.14,19.14,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=KxkoSlGrTXmscLL_XevKwgAA,7,0.00%,0,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=ydn_gw_concept_lp&yclid=YJAD.1617421108.lfnFJ9udcq1SN3EU8pQz1dC7oGd_UUPFI0hQM2smie5vQ2DZen1zAHySF6NughsKsjFc60nqZIRvNJaxTXe5NydBhtZyzOGPahb97VSTtbjx5Zg-,7,42.86%,3,71.43%,1.57,18.57,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=ydn_gw_concept_lp&yclid=YJAD.1624826367.A__h2GAAAF6CSFyt52PEnRoe2eB6po_GV83KvVXs9l-Om4oL3topKwlkDGiZAbLLgPhte8y38u5KT2GhLUlr2byHi15P4m-NUD23i5GjMm1BjNBDyuNomC5Bn7xBmvooyeaHt6hI4o6p8Y7wbyL-Wl_ooPkqMLwi9lDEEu_YKPxwrizKGHvVgkTa518k3aGVDA,7,0.00%,0,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?wbraid=CjoKCAjw_JuGBhATEioAJ1Zi7l4zHdRfi5lgrsIWBgEOTXcIMlActu5o0Gx0W6ZxMyoX8BO7wVAaAirQ,7,100.00%,7,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?wbraid=CjoKCAjw47eFBhBkEioAxRkMQLwm4RvaO6pJ_sm_VB834nkTPtF1ajdL5MoAb_lYKk_L83cZ1FEaAhjJ,7,100.00%,7,100.00%,1.00,0.00,0.00%,0,0.00
/lp/houses/107_0012_3_03/,7,0.00%,0,0.00%,16.57,1982.00,14.29%,1,0.00
/lp/houses/136_0065_5_03/company.html,7,28.57%,2,14.29%,6.86,435.43,0.00%,0,0.00
/lp/houses/152_0013_2_01/index.html?argument=VhD4FQ1G&dmai=fb_152_0013_2_01&fbclid=PAAaZmLcXogdozJNCP8LlFmDvDsjFlfyyZC6F986MNEBKt7TmpnmJ63qTPkUE_aem_AUeq_ML1qh7pCgBSmB6lgEdAi1GdUmUT8gnBlIygZYx1__ekVx1smFnAozuqEYR9vj-SpNKVnDCDoL3XPdIXS9JYJlmWezES7Z7gHWsc7o96nNbBJgpsJ_iAAC4FZv12zks,7,57.14%,4,71.43%,1.43,15.43,0.00%,0,0.00
/lp/houses/166_0013_3_01/index.html?argument=VhD4FQ1G&dmai=fb_166_0013_3_01&fbclid=PAAaYsaqAo1I6kbhxVD66oWkxsXBXjkPULrJ5ejYXBtLj3PG1MFPhcCWT5-2o_aem_AbJOLOQkNoSBwkKCV_J2sryXNu2m1sfU6vTntw_73pIp37JFeGFUWTgTmHPp53MerpZxF5TpiOTXaOzI23SucWjoFV8ud-zyWnsJv6r2i5i1X0yBEYHtO_VoEmR5iX43GsI,7,71.43%,5,57.14%,1.57,169.00,0.00%,0,0.00
/lp/houses/167_0042_4_05/index.html?argument=VhD4FQ1G&dmai=fb_167_0042_4_05&fbclid=PAAaaLk6DWyarq7swguwzyvKTJXRaPKJqvKZBYgWpTDDjd0BvESdAaRbM0rBg_aem_AfNt1U1-qd372U2ksurLAQ-MUegYH6S0OFQ5MoA4cLNtECKEj4NtNH2sMRSy69MPDI_g9NhPXQ9tFFvW4uHOrmdwU38rOKXEwwJ16Th7TgPC7XTNrIMC39hRzcs_1KA2v8Y,7,71.43%,5,85.71%,1.14,7.00,0.00%,0,0.00
/lp/houses/169_0074_1_01/,7,0.00%,0,42.86%,4.14,157.14,0.00%,0,0.00
/lp/houses/176_0001_2_02/,7,42.86%,3,14.29%,2.29,34.57,0.00%,0,0.00
/lp/houses/176_0001_2_02/concept.html,7,57.14%,4,28.57%,3.43,311.71,0.00%,0,0.00
/lp/houses/177_0034_1_02/,7,42.86%,3,14.29%,2.71,37.71,0.00%,0,0.00
/lp/houses/178_0061_2_05/concept.html,7,71.43%,5,42.86%,2.86,49.29,0.00%,0,0.00
/lp/houses/184_0002_3_03/,7,57.14%,4,57.14%,2.00,16.57,0.00%,0,0.00
/lp/houses/273_0046_2_01/index.html?argument=VhD4FQ1G&dmai=fb_273_0046_2_01&fbclid=IwAR0zoMeuV6otdSyuk-l_glPDsSUJa4JZwN2LtIkhknFbc8Dus-jSiIUzkG4_aem_ARWOjvj710Rc5_XEuQPkOpoWY6EydaDBEd-Vkz0AYarmOreBtQGn7qx1-bLoif3YQH_W0OEzAyreQj8fDBp4tL6tgZuGdw6QLjWRwH4_lUFzk3J6Jq1psI1T3r0o4_P7lOU,7,85.71%,6,85.71%,1.14,10.00,0.00%,0,0.00
/lp/houses/333_0847_2_05/concept.html,7,42.86%,3,57.14%,1.57,28.71,0.00%,0,0.00
/lp/houses/336_0042_642_01/index.html?argument=VhD4FQ1G&dmai=fb_336_0042_642&fbclid=PAAaZHwOk8OWu5BC-vjzfC2QqFbhVp8rPlC73KMgD9hMQe8AinTYLQ19ZnQPU,7,14.29%,1,57.14%,1.57,380.14,0.00%,0,0.00
/lp/houses/338_0816_1_01/,7,28.57%,2,14.29%,6.00,221.00,0.00%,0,0.00
/lp/houses/338_0837_3_01/index.html?argument=VhD4FQ1G&dmai=fb_338_0837_3_01&fbclid=IwAR14qj45f748xV_zpJaEUNI6r6QH8McD2Fdnu8wMFqMARwr6iy0kwL5IUNs_aem_AeJRr3-CjDJGnJehjLX7_B-yqHE7o0dJOyK3vpbiPlFY0ApFOWdHt_NFCIuL7viTYrXkL0wkFpi5MbtPI8d3-RFpOKBhEW4bt4cRsOHnb_94u1sOReIUBq-z3d6F4hHUT6w,7,28.57%,2,42.86%,1.71,506.57,0.00%,0,0.00
/lp/houses/904_2155_3_01/company.html,7,71.43%,5,85.71%,1.14,4.29,0.00%,0,0.00
/lp/request/?property=バシレイオン北習志野�期,7,14.29%,1,14.29%,3.43,165.14,14.29%,1,0.00
/lp/reserve/?property=バシレイオン四ツ木 全6棟,7,0.00%,0,100.00%,1.00,0.00,0.00%,0,0.00
/search/id12154/,7,28.57%,2,28.57%,3.00,188.71,0.00%,0,0.00
/search/id15413/?argument=VhD4FQ1G&dmai=fly_343_0846_4_01,7,100.00%,7,42.86%,2.14,166.14,0.00%,0,0.00
/search/id15660/,7,14.29%,1,42.86%,1.57,306.00,0.00%,0,0.00
/sp/bacileion.html,7,100.00%,7,28.57%,3.71,34.71,0.00%,0,0.00
/?yclid=YSS.1001111129.EAIaIQobChMIgZ343bvA8AIVCnkqCh3N7QF9EAAYASAAEgKIyPD_BwE,6,16.67%,1,33.33%,4.50,64.67,0.00%,0,0.00
/andresortlife/?s=,6,0.00%,0,50.00%,1.83,71.00,0.00%,0,0.00
/andresortlife/2020/11/15/子どもと暮らすお部屋づくり。インテリアになじ/,6,83.33%,5,100.00%,1.00,0.00,0.00%,0,0.00
/andresortlife/2021/05/08/自宅の屋上にグリーンを！人工芝は自分で張れる/,6,33.33%,2,66.67%,5.83,285.83,0.00%,0,0.00
/andresortlife/2021/06/28/子供と一緒に屋台気分！アウトドアグッズで楽し/,6,83.33%,5,83.33%,1.17,140.00,0.00%,0,0.00
/andresortlife/category/ビニールプール/,6,50.00%,3,50.00%,3.83,278.50,0.00%,0,0.00
/event/id3460/,6,100.00%,6,83.33%,1.33,1.50,0.00%,0,0.00
/gallery_cat/terrace/,6,0.00%,0,50.00%,2.33,604.17,0.00%,0,0.00
/gallery/?wbraid=CjkKCQjwkZiFBhDLARIoAOHz7u8kERnTM1IYb-OCKa5PQTG9Q87Dmr9mqspOO9UAs_8wHhQodBoCxXM,6,100.00%,6,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=fb_concept&fbclid=PAAabKrzEss9-upVqHpN3LqY9X0tJWO6pQ_zAjnogM7JOo-RhUl8JjXmoRGn0_aem_Ackj-ro93VQzfhd839LTd__IwXX-Yi6IOGR-_h4B_c9f0c-ucuOWxm_u5Bk7B_4hMvuyuYFNn8R8Os2QgI5J3ZreWSc8lsCo8YILXuZdXNyE4LZXO2yNcpBsFSpRXHc4Fbs,6,100.00%,6,50.00%,1.50,9.17,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=fb_concept&fbclid=PAAaYlZ4CLTlODpJltROL3YYcnOwRcakld6ZiIhJGY2Y1vv68BGvPoaYvGpFQ,6,50.00%,3,16.67%,2.17,38.33,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=0cXTH5_JTLO8HBrZ09fwqQAA,6,16.67%,1,83.33%,1.17,94.83,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=5vcMPJT_SbKpr1uXlGtt3AAA,6,50.00%,3,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=7m3E2KLFR2WVdUNCcWyBygAA,6,16.67%,1,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=FHywqZlNSkyJG4Aj7-Fg3QAA,6,16.67%,1,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=FlQcthQfS8i8CD8IZvklNwAA,6,33.33%,2,83.33%,1.50,25.50,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=pKKms5a_RG2WGbNswFkwiAAA,6,16.67%,1,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=line_concept_lp&ldtag_cl=yOLsq5jARjCZ_JRXOOhMuwAA,6,66.67%,4,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=ydn_gw_concept_lp&yclid=YJAD.1614034500.cvX5WEqdcq1KxK6DBvHsELpE66_J2SFaibErsbdYZyVjVdT009hw3kDwoMkn.j22fmalpiuJk.DHAXArLNTtQ3Sv8u7Fl31wbxmj86Tv2rYEvHQ-,6,83.33%,5,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=ydn_gw_concept_lp&yclid=YJAD.1621823393.A6EPq2AAACeZSnvIIC7sIm7WyZ1oUEiuRkO47QkgWxcGeRVXfIrVwZ0cv7EdRgJ8lSKonqR9ROXdWRMBap5knrO9clOriii_QBZ4gCLR1UGJ80KfLYZLPGdT_jMStowVabXTyHPOjaXS2Tqtwrhh2UM8NEe-y39GEV3KlCt_lFweaTYoJtTDphKN1s4IIj575w,6,16.67%,1,66.67%,1.50,28.50,0.00%,0,0.00
/lp/concept/?argument=VhD4FQ1G&dmai=ydn_gw_concept_lp&yclid=YJAD.1625865696.A-C96GAAAGkvG3jzdFVm2EPiZX6pDTbAVLYUwJjgNjSTj7VJTSgd96UYVEBxLSVmFPnYAzIG6PDek6yC7bJMWLcbaL7WSzMLyVGpZ_dGttPb8XJzGZmOH7gsYnX0-p8PyjAScp5kX2Zj6sTJCvuKE_PslxVOL98ZuLocNoo_SfCQpziIp7dH0xsXeJi_sF1MhA,6,16.67%,1,83.33%,1.17,100.50,0.00%,0,0.00
/lp/concept/?ldtag_cl=a2BSyoDjReSXB9HNipnddgAA,6,0.00%,0,100.00%,1.00,0.00,0.00%,0,0.00
/lp/concept/?yclid=YSS.1001111129.EAIaIQobChMIg5Ld5d7Z7wIVEnZgCh0HJQ_HEAAYAyAAEgLB5_D_BwE,6,16.67%,1,83.33%,1.83,521.00,0.00%,0,0.00
/lp/concept/property.html?argument=VhD4FQ1G&dmai=media_property,6,66.67%,4,50.00%,1.50,144.83,0.00%,0,0.00
/lp/houses/115_0042_5_02/concept.html,6,33.33%,2,66.67%,2.17,65.17,16.67%,1,0.00
/lp/houses/125_0041_5_04/after_service.html,6,50.00%,3,66.67%,1.50,43.83,0.00%,0,0.00
/lp/houses/132_0022_4_07/company.html,6,66.67%,4,50.00%,2.67,90.50,0.00%,0,0.00
/lp/houses/134_0081_1_02/index.html?argument=VhD4FQ1G&dmai=fb_134_0081_1_02&fbclid=PAAabjv3gbQYQKyE8Yr9dfttn3HQyR_WFa50kN94o7uxaf4w1zQYtfVsjWb68_aem_AbPM-cSXAYMnJr24LUrxzOYPPn2Tl2xdi9MCBxu307virOlV7u_E3aEAB4TPqJQVG-MflyTjHPij3aUaKww1cPOkV6qOdRWZlW7pOppTgpvIjMRocchcrRDbq8IWWtNkY8k,6,50.00%,3,100.00%,1.00,0.00,0.00%,0,0.00
/lp/houses/152_0013_2_01/index.html?argument=VhD4FQ1G&dmai=fb_152_0013_2_01&fbclid=PAAabtlxYwh7C5Pn2D0qFtDr0UzlHFauhGt6fKUbzVD_exzCE8ugINQYSi2m8_aem_AV2XwMcCQzu9smGhpi4viQaOEHPfRUDV5Bk7NT3xm7ZvBYsDxFTQdRGYgCPleuElxM4r-K0Jq5JAfJCj8Wu21slK-cRm0vBpzBpyjncDHk_Uk4pyJEv3MAI9UrzmfGcBPo0,6,33.33%,2,33.33%,1.83,107.00,0.00%,0,0.00
/lp/houses/166_0003_3_02/,6,50.00%,3,0.00%,3.00,74.50,0.00%,0,0.00
/lp/houses/170_0011_2_04/,6,33.33%,2,50.00%,2.17,16.50,0.00%,0,0.00
/lp/houses/173_0002_8_01/,6,0.00%,0,50.00%,2.33,247.50,0.00%,0,0.00
/lp/houses/175_0092_5_01/,6,83.33%,5,50.00%,2.50,105.00,0.00%,0,0.00
/lp/houses/215_0018_6_01/concept.html,6,50.00%,3,66.67%,7.83,554.33,16.67%,1,0.00
/lp/houses/215_0018_6_01/index.html?argument=VhD4FQ1G&dmai=fb_215_0018_6_01&fbclid=PAAaZN4r1wWzCDoLSypbomOlkQIzrOwD0XzlIFVFWhYz7E5usHHxwwy48hGyY_aem_AX0_I23ZFFrGhtxKP8NMBmEBLlXIlGxdyaXpf2p0WMKdvu3yPvaOKNXwOB3WM0_RQy0lMO0v7_mtR1T4t7HTqoq7tur82iYjHI9P7maT2VGRI-10rqp4JReuKVmXjW2han8,6,16.67%,1,83.33%,1.33,23.00,0.00%,0,0.00
/lp/houses/273_0021_4_02/company.html,6,50.00%,3,50.00%,3.00,30.00,0.00%,0,0.00
/lp/houses/273_0046_2_01/index.html?argument=VhD4FQ1G&dmai=fb_273_0046_2_01&fbclid=IwAR3BgmNZOwfZ1jhbQGtjIPIOzt1_rJ6IiQ8KpVZNZDW72GpQVV6CTzoookY_aem_Aao-NEe-QcNjxUAFfNBN1AQXmbOxGYjdqX-3fF6zuoFSIyeIaFKInzoa5zcvEp-bq7yOrlRTAZ2gbXau5omkeMvSu2h1HQAWKtyWLAfDzPC3IKValdSo5mo8fHSmvyVUS8I,6,100.00%,6,33.33%,3.33,531.33,0.00%,0,0.00
/lp/houses/274_0063_8_02/index.html?argument=VhD4FQ1G&dmai=fb_274_0063_8_02&fbclid=PAAabLri5DUcD1AfG_vAfAZTrMCaEHFmwVGt-cxvinPkKJ4mMvIEo4lyas-Ek,6,50.00%,3,16.67%,4.33,285.33,16.67%,1,0.00
/lp/houses/333_0811_4_02/,6,0.00%,0,16.67%,3.50,300.17,0.00%,0,0.00
/lp/houses/904_2155_3_01/,6,0.00%,0,16.67%,3.00,170.67,0.00%,0,0.00
/lp/request/?property=バシレイオン金町�｢期,6,0.00%,0,83.33%,2.50,61.50,0.00%,0,0.00
/lp/request/?property=バシレイオン新百合ヶ丘,6,0.00%,0,16.67%,3.00,110.33,16.67%,1,0.00
/lp/request/?property=バシレイオン赤羽�期 全4棟,6,33.33%,2,50.00%,1.67,37.83,16.67%,1,0.00
/newsblog/11434/,6,16.67%,1,50.00%,3.50,349.17,0.00%,0,0.00
/newsblog/14664/,6,83.33%,5,83.33%,1.33,39.00,0.00%,0,0.00
/search/id11781/?argument=VhD4FQ1G&dmai=fly_333_0842_4_08,6,16.67%,1,83.33%,4.17,95.00,0.00%,0,0.00
/search/id4859/,6,83.33%,5,0.00%,3.00,339.67,0.00%,0,0.00
/smartphone.html,6,100.00%,6,16.67%,3.83,76.83,0.00%,0,0.00
/?gbraid=0AAAAADN8pbMTUhQSBoWEsfHIxM2YormlT,5,20.00%,1,0.00%,5.80,297.00,0.00%,0,0.00
/?post_type=search&p=15727&preview=true,5,0.00%,0,40.00%,5.00,559.80,0.00%,0,0.00
/?yclid=YSS.1001111129.EAIaIQobChMIk_i82-bF8AIVG9pMAh1DaAU6EAAYASAAEgKfsPD_BwE,5,80.00%,4,100.00%,1.00,0.00,0.00%,0,0.00
/?yclid=YSS.1001111129.EAIaIQobChMIlpzR45OA8AIVHcWWCh3DAQZBEAAYASAAEgIhofD_BwE,5,0.00%,0,60.00%,2.20,69.80,0.00%,0,0.00
"/andresortlife/2021/01/13/目が届く、シンプルなインテリアがポイント！子/",5,60.00%,3,100.00%,1.00,0.00,0.00%,0,0.00
/andresortlife/2021/03/31/子どもと暮らすお部屋づくり：「学習デスクまわ/,5,100.00%,5,100.00%,1.00,0.00,0.00%,0,0.00
/andresortlife/2021/07/03/おうちで世界旅行：メキシコ編/,5,40.00%,2,80.00%,1.20,13.40,0.00%,0,0.00
/company/about_t/,5,20.00%,1,60.00%,3.40,478.60,0.00%,0,0.00
/contact/?eventtitle=バシレイオン金町�｣期,5,40.00%,2,40.00%,4.20,155.20,0.00%,0,0.00
/gallery_cat/living/,5,20.00%,1,40.00%,6.00,686.40,0.00%,0,0.00
/gallery/?wbraid=CjgKCAjw87SHBhBmEigAevmIjcBrIyqXKvCwkLc8oa4ivxIknNSzcYgjZ9PVIDeW9-v-UaKmGgKmAQ,5,100.00%,5,100.00%,1.00,0.00,0.00%,0,0.00
/gallery/?wbraid=CjgKCAjwz_WGBhBjEigAETi7_SOTwbow7eu_FMv-hC_wl6z1jxoF2wEum_rUD6Y61FYOJhXtGgK8GQ,5,100.00%,5,100.00%,1.00,0.00,0.00%,0,0.00
/gallery/?wbraid=CjkKCQjw5auGBhDXARIoACCv8gVFz7dTpGmlmClB5GqWtbcUrssrhDXdhgQVCq7K8s8n9KRvJRoCFYs,5,80.00%,4,80.00%,1.40,6.20,0.00%,0,0.00
/gallery/?wbraid=CjoKCAjwxdSHBhAKEioAzePqgdKKVuZ9sdKMcV4K_WfjmxMTjdcD2zF9WEGgMF4wLo1A0JJCQjIaAnce,5,60.00%,3,40.00%,1.60,250.00,0.00%,0,0.00
/gallery/?wbraid=CjsKCQjwh_eFBhDxARIqAMYaDxewnMvueygV-JvksXIHcngXrEbUlkKfvomc2k1U76cT3Eugr5A_GgJrMA,5,80.00%,4,100.00%,1.00,0.00,0.00%,0,0.00
